"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P1,P2";"1pin_2m5";2;"CONN_1";;;
2;"C2";"SM0805";1;"4,7uF";;;
3;"R3,R4";"SM0805";2;"10K";;;
4;"C4,C3,C1";"SM0805";3;"100nF";;;
5;"D2";"SM0805";1;"KPT-1608 YC";;;
6;"D1";"SM0805";1;"KPT-1608 EC";;;
7;"R2,R1";"SM0805";2;"330";;;
8;"JP1,JP2";"PIN_ARRAY_2X1";2;"JUMPER";;;
9;"PROG1";"pin_array_7x2";1;"CONN_14";;;
10;"U1";"SSOP28big";1;"FT232R";;;
11;"R5";"SM0805";1;"0";;;
12;"P3,P4";"fiducial15";2;"CONN_1";;;
13;"U2";"PCA9548";1;"PCA9548";;;
14;"J1";"MICRO_USB_TYPE_B_CHINA";1;"USB_3";;;
15;"Reset1";"VerticalButton";1;"Reset";;;
16;"CONN2,CONN3,CONN4";"SIL-14f1d1.5_double";3;"CONN_14";;;
17;"P5";"front_vsoh_logo";1;"PD";;;
18;"P8";"back_info_262013";1;"PD";;;
